time_slot,power_mw,price_yuan_per_mwh
1,50,299.7
2,50,299.4
3,50,299.1
4,50,298.8
5,50,298.5
6,50,298.2
7,50,297.9
8,50,297.6
9,50,297.3
10,50,297
11,50,296.7
12,50,296.4
13,50,296.1
14,50,295.8
15,50,295.5
16,50,295.2
17,50,294.9
18,50,294.6
19,50,294.3
20,50,294
21,50,293.7
22,50,293.4
23,50,293.1
24,50,292.8
25,50,292.5
26,50,292.2
27,50,291.9
28,50,291.6
29,50,291.3
30,50,291
31,50,290.7
32,50,290.4
33,50,290.1
34,50,289.8
35,50,289.5
36,50,289.2
37,50,288.9
38,50,288.6
39,50,288.3
40,50,288
41,50,287.7
42,50,287.4
43,50,287.1
44,50,286.8
45,50,286.5
46,50,286.2
47,50,285.9
48,50,285.6
49,50,285.3
50,50,285
51,50,284.7
52,50,284.4
53,50,284.1
54,50,283.8
55,50,283.5
56,50,283.2
57,50,282.9
58,50,282.6
59,50,282.3
60,50,282
61,50,281.7
62,50,281.4
63,50,281.1
64,50,280.8
65,50,280.5
66,50,280.2
67,50,279.9
68,50,279.6
69,50,279.3
70,50,279
71,50,278.7
72,50,278.4
73,50,278.1
74,50,277.8
75,50,277.5
76,50,277.2
77,50,276.9
78,50,276.6
79,50,276.3
80,50,276
81,50,275.7
82,50,275.4
83,50,275.1
84,50,274.8
85,50,274.5
86,50,274.2
87,50,273.9
88,50,273.6
89,50,273.3
90,50,273
91,50,272.7
92,50,272.4
93,50,272.1
94,50,271.8
95,50,271.5
96,50,271.2
