time_slot,power_mw,price_yuan_per_mwh
1,20,200.5
2,20,201
3,20,201.5
4,20,202
5,20,202.5
6,20,203
7,20,203.5
8,20,204
9,20,204.5
10,20,205
11,20,205.5
12,20,206
13,20,206.5
14,20,207
15,20,207.5
16,20,208
17,20,208.5
18,20,209
19,20,209.5
20,20,210
21,20,210.5
22,20,211
23,20,211.5
24,20,212
25,20,212.5
26,20,213
27,20,213.5
28,20,214
29,20,214.5
30,20,215
31,20,215.5
32,20,216
33,20,216.5
34,20,217
35,20,217.5
36,20,218
37,20,218.5
38,20,219
39,20,219.5
40,20,220
41,20,220.5
42,20,221
43,20,221.5
44,20,222
45,20,222.5
46,20,223
47,20,223.5
48,20,224
49,20,224.5
50,20,225
51,20,225.5
52,20,226
53,20,226.5
54,20,227
55,20,227.5
56,20,228
57,20,228.5
58,20,229
59,20,229.5
60,20,230
61,20,230.5
62,20,231
63,20,231.5
64,20,232
65,20,232.5
66,20,233
67,20,233.5
68,20,234
69,20,234.5
70,20,235
71,20,235.5
72,20,236
73,20,236.5
74,20,237
75,20,237.5
76,20,238
77,20,238.5
78,20,239
79,20,239.5
80,20,240
81,20,240.5
82,20,241
83,20,241.5
84,20,242
85,20,242.5
86,20,243
87,20,243.5
88,20,244
89,20,244.5
90,20,245
91,20,245.5
92,20,246
93,20,246.5
94,20,247
95,20,247.5
96,20,248
