consumer_id,time_slot,segment_no,quantity_mw,price_yuan_per_mwh
C1,1,1,5.00,299.7
C1,1,2,5.00,288.7
C1,1,3,5.00,277.7
C1,1,4,5.00,266.6
C1,1,5,5.00,255.6
C1,1,6,5.00,244.6
C1,1,7,5.00,233.6
C1,1,8,5.00,222.5
C1,1,9,5.00,211.5
C1,1,10,5.00,200.5
C1,2,1,5.00,299.4
C1,2,2,5.00,288.5
C1,2,3,5.00,277.5
C1,2,4,5.00,266.6
C1,2,5,5.00,255.7
C1,2,6,5.00,244.7
C1,2,7,5.00,233.8
C1,2,8,5.00,222.9
C1,2,9,5.00,211.9
C1,2,10,5.00,201
C1,3,1,5.00,299.1
C1,3,2,5.00,288.3
C1,3,3,5.00,277.4
C1,3,4,5.00,266.6
C1,3,5,5.00,255.7
C1,3,6,5.00,244.9
C1,3,7,5.00,234.0
C1,3,8,5.00,223.2
C1,3,9,5.00,212.3
C1,3,10,5.00,201.5
C1,4,1,5.00,298.8
C1,4,2,5.00,288.0
C1,4,3,5.00,277.3
C1,4,4,5.00,266.5
C1,4,5,5.00,255.8
C1,4,6,5.00,245.0
C1,4,7,5.00,234.3
C1,4,8,5.00,223.5
C1,4,9,5.00,212.8
C1,4,10,5.00,202
C1,5,1,5.00,298.5
C1,5,2,5.00,287.8
C1,5,3,5.00,277.2
C1,5,4,5.00,266.5
C1,5,5,5.00,255.8
C1,5,6,5.00,245.2
C1,5,7,5.00,234.5
C1,5,8,5.00,223.8
C1,5,9,5.00,213.2
C1,5,10,5.00,202.5
C1,6,1,5.00,298.2
C1,6,2,5.00,287.6
C1,6,3,5.00,277.0
C1,6,4,5.00,266.5
C1,6,5,5.00,255.9
C1,6,6,5.00,245.3
C1,6,7,5.00,234.7
C1,6,8,5.00,224.2
C1,6,9,5.00,213.6
C1,6,10,5.00,203
C1,7,1,5.00,297.9
C1,7,2,5.00,287.4
C1,7,3,5.00,276.9
C1,7,4,5.00,266.4
C1,7,5,5.00,255.9
C1,7,6,5.00,245.5
C1,7,7,5.00,235.0
C1,7,8,5.00,224.5
C1,7,9,5.00,214.0
C1,7,10,5.00,203.5
C1,8,1,5.00,297.6
C1,8,2,5.00,287.2
C1,8,3,5.00,276.8
C1,8,4,5.00,266.4
C1,8,5,5.00,256.0
C1,8,6,5.00,245.6
C1,8,7,5.00,235.2
C1,8,8,5.00,224.8
C1,8,9,5.00,214.4
C1,8,10,5.00,204
C1,9,1,5.00,297.3
C1,9,2,5.00,287.0
C1,9,3,5.00,276.7
C1,9,4,5.00,266.4
C1,9,5,5.00,256.1
C1,9,6,5.00,245.7
C1,9,7,5.00,235.4
C1,9,8,5.00,225.1
C1,9,9,5.00,214.8
C1,9,10,5.00,204.5
C1,10,1,5.00,297
C1,10,2,5.00,286.8
C1,10,3,5.00,276.6
C1,10,4,5.00,266.3
C1,10,5,5.00,256.1
C1,10,6,5.00,245.9
C1,10,7,5.00,235.7
C1,10,8,5.00,225.4
C1,10,9,5.00,215.2
C1,10,10,5.00,205
C1,11,1,5.00,296.7
C1,11,2,5.00,286.6
C1,11,3,5.00,276.4
C1,11,4,5.00,266.3
C1,11,5,5.00,256.2
C1,11,6,5.00,246.0
C1,11,7,5.00,235.9
C1,11,8,5.00,225.8
C1,11,9,5.00,215.6
C1,11,10,5.00,205.5
C1,12,1,5.00,296.4
C1,12,2,5.00,286.4
C1,12,3,5.00,276.3
C1,12,4,5.00,266.3
C1,12,5,5.00,256.2
C1,12,6,5.00,246.2
C1,12,7,5.00,236.1
C1,12,8,5.00,226.1
C1,12,9,5.00,216.0
C1,12,10,5.00,206
C1,13,1,5.00,296.1
C1,13,2,5.00,286.1
C1,13,3,5.00,276.2
C1,13,4,5.00,266.2
C1,13,5,5.00,256.3
C1,13,6,5.00,246.3
C1,13,7,5.00,236.4
C1,13,8,5.00,226.4
C1,13,9,5.00,216.5
C1,13,10,5.00,206.5
C1,14,1,5.00,295.8
C1,14,2,5.00,285.9
C1,14,3,5.00,276.1
C1,14,4,5.00,266.2
C1,14,5,5.00,256.3
C1,14,6,5.00,246.5
C1,14,7,5.00,236.6
C1,14,8,5.00,226.7
C1,14,9,5.00,216.9
C1,14,10,5.00,207
C1,15,1,5.00,295.5
C1,15,2,5.00,285.7
C1,15,3,5.00,275.9
C1,15,4,5.00,266.2
C1,15,5,5.00,256.4
C1,15,6,5.00,246.6
C1,15,7,5.00,236.8
C1,15,8,5.00,227.1
C1,15,9,5.00,217.3
C1,15,10,5.00,207.5
C1,16,1,5.00,295.2
C1,16,2,5.00,285.5
C1,16,3,5.00,275.8
C1,16,4,5.00,266.1
C1,16,5,5.00,256.4
C1,16,6,5.00,246.8
C1,16,7,5.00,237.1
C1,16,8,5.00,227.4
C1,16,9,5.00,217.7
C1,16,10,5.00,208
C1,17,1,5.00,294.9
C1,17,2,5.00,285.3
C1,17,3,5.00,275.7
C1,17,4,5.00,266.1
C1,17,5,5.00,256.5
C1,17,6,5.00,246.9
C1,17,7,5.00,237.3
C1,17,8,5.00,227.7
C1,17,9,5.00,218.1
C1,17,10,5.00,208.5
C1,18,1,5.00,294.6
C1,18,2,5.00,285.1
C1,18,3,5.00,275.6
C1,18,4,5.00,266.1
C1,18,5,5.00,256.6
C1,18,6,5.00,247.0
C1,18,7,5.00,237.5
C1,18,8,5.00,228.0
C1,18,9,5.00,218.5
C1,18,10,5.00,209
C1,19,1,5.00,294.3
C1,19,2,5.00,284.9
C1,19,3,5.00,275.5
C1,19,4,5.00,266.0
C1,19,5,5.00,256.6
C1,19,6,5.00,247.2
C1,19,7,5.00,237.8
C1,19,8,5.00,228.3
C1,19,9,5.00,218.9
C1,19,10,5.00,209.5
