consumer_id,time_slot,segment_no,quantity_mw,price_yuan_per_mwh
C1,1,1,2.79,1587.31
C1,1,2,2.79,1527.5
C1,1,3,2.79,1467.7
C1,1,4,2.79,1408.0
C1,1,5,2.79,1348.2
C1,1,6,2.79,1288.4
C1,1,7,2.79,1228.6
C1,1,8,2.79,1168.8
C1,1,9,2.79,1109.0
C1,1,10,2.79,1049.24
C1,2,1,2.64,1481.06
C1,2,2,2.64,1425.3
C1,2,3,2.64,1369.5
C1,2,4,2.64,1313.7
C1,2,5,2.64,1257.9
C1,2,6,2.64,1202.1
C1,2,7,2.64,1146.4
C1,2,8,2.64,1090.6
C1,2,9,2.64,1034.8
C1,2,10,2.64,979.01
C1,3,1,2.57,1448.83
C1,3,2,2.57,1394.3
C1,3,3,2.57,1339.7
C1,3,4,2.57,1285.1
C1,3,5,2.57,1230.6
C1,3,6,2.57,1176.0
C1,3,7,2.57,1121.4
C1,3,8,2.57,1066.8
C1,3,9,2.57,1012.3
C1,3,10,2.57,957.7
C1,4,1,2.52,1417.79
C1,4,2,2.52,1364.4
C1,4,3,2.52,1311.0
C1,4,4,2.52,1257.6
C1,4,5,2.52,1204.2
C1,4,6,2.52,1150.8
C1,4,7,2.52,1097.4
C1,4,8,2.52,1044.0
C1,4,9,2.52,990.6
C1,4,10,2.52,937.19
C1,5,1,2.51,1435.67
C1,5,2,2.51,1381.6
C1,5,3,2.51,1327.5
C1,5,4,2.51,1273.4
C1,5,5,2.51,1219.4
C1,5,6,2.51,1165.3
C1,5,7,2.51,1111.2
C1,5,8,2.51,1057.1
C1,5,9,2.51,1003.1
C1,5,10,2.51,949.0
C1,6,1,2.49,1402.51
C1,6,2,2.49,1349.7
C1,6,3,2.49,1296.9
C1,6,4,2.49,1244.0
C1,6,5,2.49,1191.2
C1,6,6,2.49,1138.4
C1,6,7,2.49,1085.6
C1,6,8,2.49,1032.7
C1,6,9,2.49,979.9
C1,6,10,2.49,927.08
C1,7,1,2.43,1396.77
C1,7,2,2.43,1344.2
C1,7,3,2.43,1291.6
C1,7,4,2.43,1238.9
C1,7,5,2.43,1186.3
C1,7,6,2.43,1133.7
C1,7,7,2.43,1081.1
C1,7,8,2.43,1028.5
C1,7,9,2.43,975.9
C1,7,10,2.43,923.29
C1,8,1,2.43,1358.51
C1,8,2,2.43,1307.3
C1,8,3,2.43,1256.2
C1,8,4,2.43,1205.0
C1,8,5,2.43,1153.8
C1,8,6,2.43,1102.7
C1,8,7,2.43,1051.5
C1,8,8,2.43,1000.3
C1,8,9,2.43,949.2
C1,8,10,2.43,898.0
C1,9,1,2.40,1411.96
C1,9,2,2.40,1358.8
C1,9,3,2.40,1305.6
C1,9,4,2.40,1252.4
C1,9,5,2.40,1199.2
C1,9,6,2.40,1146.1
C1,9,7,2.40,1092.9
C1,9,8,2.40,1039.7
C1,9,9,2.40,986.5
C1,9,10,2.40,933.33
C1,10,1,2.48,1370.09
C1,10,2,2.48,1318.5
C1,10,3,2.48,1266.9
C1,10,4,2.48,1215.3
C1,10,5,2.48,1163.7
C1,10,6,2.48,1112.1
C1,10,7,2.48,1060.5
C1,10,8,2.48,1008.9
C1,10,9,2.48,957.3
C1,10,10,2.48,905.65
C1,11,1,2.46,1346.93
C1,11,2,2.46,1296.2
C1,11,3,2.46,1245.5
C1,11,4,2.46,1194.7
C1,11,5,2.46,1144.0
C1,11,6,2.46,1093.3
C1,11,7,2.46,1042.5
C1,11,8,2.46,991.8
C1,11,9,2.46,941.1
C1,11,10,2.46,890.35
C1,12,1,2.36,1343.51
C1,12,2,2.36,1292.9
C1,12,3,2.36,1242.3
C1,12,4,2.36,1191.7
C1,12,5,2.36,1141.1
C1,12,6,2.36,1090.5
C1,12,7,2.36,1039.9
C1,12,8,2.36,989.3
C1,12,9,2.36,938.7
C1,12,10,2.36,888.08
C1,13,1,2.38,1322.66
C1,13,2,2.38,1272.8
C1,13,3,2.38,1223.0
C1,13,4,2.38,1173.2
C1,13,5,2.38,1123.4
C1,13,6,2.38,1073.6
C1,13,7,2.38,1023.8
C1,13,8,2.38,973.9
C1,13,9,2.38,924.1
C1,13,10,2.38,874.3
C1,14,1,2.41,1326.09
C1,14,2,2.41,1276.1
C1,14,3,2.41,1226.2
C1,14,4,2.41,1176.3
C1,14,5,2.41,1126.3
C1,14,6,2.41,1076.4
C1,14,7,2.41,1026.4
C1,14,8,2.41,976.5
C1,14,9,2.41,926.5
C1,14,10,2.41,876.57
C1,15,1,2.40,1278.66
C1,15,2,2.40,1230.5
C1,15,3,2.40,1182.3
C1,15,4,2.40,1134.2
C1,15,5,2.40,1086.0
C1,15,6,2.40,1037.9
C1,15,7,2.40,989.7
C1,15,8,2.40,941.5
C1,15,9,2.40,893.4
C1,15,10,2.40,845.22
C1,16,1,2.37,1266.72
C1,16,2,2.37,1219.0
C1,16,3,2.37,1171.3
C1,16,4,2.37,1123.6
C1,16,5,2.37,1075.9
C1,16,6,2.37,1028.2
C1,16,7,2.37,980.5
C1,16,8,2.37,932.7
C1,16,9,2.37,885.0
C1,16,10,2.37,837.32
C1,17,1,2.38,1284.69
C1,17,2,2.38,1236.3
C1,17,3,2.38,1187.9
C1,17,4,2.38,1139.5
C1,17,5,2.38,1091.1
C1,17,6,2.38,1042.8
C1,17,7,2.38,994.4
C1,17,8,2.38,946.0
C1,17,9,2.38,897.6
C1,17,10,2.38,849.2
C1,18,1,2.46,1317.75
C1,18,2,2.46,1268.1
C1,18,3,2.46,1218.5
C1,18,4,2.46,1168.9
C1,18,5,2.46,1119.2
C1,18,6,2.46,1069.6
C1,18,7,2.46,1020.0
C1,18,8,2.46,970.3
C1,18,9,2.46,920.7
C1,18,10,2.46,871.06
C1,19,1,2.53,1323.4
C1,19,2,2.53,1273.6
C1,19,3,2.53,1223.7
C1,19,4,2.53,1173.9
C1,19,5,2.53,1124.0
C1,19,6,2.53,1074.2
C1,19,7,2.53,1024.3
C1,19,8,2.53,974.5
C1,19,9,2.53,924.6
C1,19,10,2.53,874.79
C1,20,1,2.54,1325.07
C1,20,2,2.54,1275.2
C1,20,3,2.54,1225.3
C1,20,4,2.54,1175.3
C1,20,5,2.54,1125.4
C1,20,6,2.54,1075.5
C1,20,7,2.54,1025.6
C1,20,8,2.54,975.7
C1,20,9,2.54,925.8
C1,20,10,2.54,875.9
C1,21,1,2.67,1340.36
C1,21,2,2.67,1289.9
