consumer_id,time_slot,segment_no,quantity_mw,price_yuan_per_mwh
C2,1,1,3.01,1559.24
C2,1,2,3.01,1500.5
C2,1,3,3.01,1441.8
C2,1,4,3.01,1383.1
C2,1,5,3.01,1324.3
C2,1,6,3.01,1265.6
C2,1,7,3.01,1206.9
C2,1,8,3.01,1148.1
C2,1,9,3.01,1089.4
C2,1,10,3.01,1030.68
C2,2,1,3.02,1549.89
C2,2,2,3.02,1491.5
C2,2,3,3.02,1433.1
C2,2,4,3.02,1374.8
C2,2,5,3.02,1316.4
C2,2,6,3.02,1258.0
C2,2,7,3.02,1199.6
C2,2,8,3.02,1141.3
C2,2,9,3.02,1082.9
C2,2,10,3.02,1024.5
C2,3,1,2.93,1541.92
C2,3,2,2.93,1483.8
C2,3,3,2.93,1425.8
C2,3,4,2.93,1367.7
C2,3,5,2.93,1309.6
C2,3,6,2.93,1251.5
C2,3,7,2.93,1193.5
C2,3,8,2.93,1135.4
C2,3,9,2.93,1077.3
C2,3,10,2.93,1019.23
C2,4,1,2.85,1399.82
C2,4,2,2.85,1347.1
C2,4,3,2.85,1294.4
C2,4,4,2.85,1241.7
C2,4,5,2.85,1188.9
C2,4,6,2.85,1136.2
C2,4,7,2.85,1083.5
C2,4,8,2.85,1030.8
C2,4,9,2.85,978.0
C2,4,10,2.85,925.31
C2,5,1,2.86,1549.89
C2,5,2,2.86,1491.5
C2,5,3,2.86,1433.1
C2,5,4,2.86,1374.8
C2,5,5,2.86,1316.4
C2,5,6,2.86,1258.0
C2,5,7,2.86,1199.6
C2,5,8,2.86,1141.3
C2,5,9,2.86,1082.9
C2,5,10,2.86,1024.5
C2,6,1,2.85,1395.01
C2,6,2,2.85,1342.5
C2,6,3,2.85,1289.9
C2,6,4,2.85,1237.4
C2,6,5,2.85,1184.8
C2,6,6,2.85,1132.3
C2,6,7,2.85,1079.8
C2,6,8,2.85,1027.2
C2,6,9,2.85,974.7
C2,6,10,2.85,922.12
C2,7,1,2.82,1440.03
C2,7,2,2.82,1385.8
C2,7,3,2.82,1331.6
C2,7,4,2.82,1277.3
C2,7,5,2.82,1223.1
C2,7,6,2.82,1168.8
C2,7,7,2.82,1114.6
C2,7,8,2.82,1060.4
C2,7,9,2.82,1006.1
C2,7,10,2.82,951.88
C2,8,1,2.80,1427.89
C2,8,2,2.80,1374.1
C2,8,3,2.80,1320.3
C2,8,4,2.80,1266.5
C2,8,5,2.80,1212.8
C2,8,6,2.80,1159.0
C2,8,7,2.80,1105.2
C2,8,8,2.80,1051.4
C2,8,9,2.80,997.6
C2,8,10,2.80,943.86
C2,9,1,2.80,1431.13
C2,9,2,2.80,1377.2
C2,9,3,2.80,1323.3
C2,9,4,2.80,1269.4
C2,9,5,2.80,1215.5
C2,9,6,2.80,1161.6
C2,9,7,2.80,1107.7
C2,9,8,2.80,1053.8
C2,9,9,2.80,999.9
C2,9,10,2.80,946.0
C2,10,1,2.75,1352.4
C2,10,2,2.75,1301.5
C2,10,3,2.75,1250.5
C2,10,4,2.75,1199.6
C2,10,5,2.75,1148.6
C2,10,6,2.75,1097.7
C2,10,7,2.75,1046.8
C2,10,8,2.75,995.8
C2,10,9,2.75,944.9
C2,10,10,2.75,893.96
