generator_id,time_slot,segment_no,quantity_mw,price_yuan_per_mwh
G1,1,1,0.50,70.2
G1,1,2,0.50,84.7
G1,1,3,0.50,99.1
G1,1,4,0.50,113.6
G1,1,5,0.50,128.1
G1,1,6,0.50,142.6
G1,1,7,0.50,157.1
G1,1,8,0.50,171.5
G1,1,9,0.50,186.0
G1,1,10,0.50,200.5
G1,2,1,0.50,70.4
G1,2,2,0.50,84.9
G1,2,3,0.50,99.4
G1,2,4,0.50,113.9
G1,2,5,0.50,128.4
G1,2,6,0.50,142.9
G1,2,7,0.50,157.5
G1,2,8,0.50,172.0
G1,2,9,0.50,186.5
G1,2,10,0.50,201
G1,3,1,0.50,70.5
G1,3,2,0.50,85.1
G1,3,3,0.50,99.6
G1,3,4,0.50,114.2
G1,3,5,0.50,128.7
G1,3,6,0.50,143.3
G1,3,7,0.50,157.8
G1,3,8,0.50,172.4
G1,3,9,0.50,186.9
G1,3,10,0.50,201.5
G1,4,1,0.50,70.7
G1,4,2,0.50,85.3
G1,4,3,0.50,99.9
G1,4,4,0.50,114.5
G1,4,5,0.50,129.1
G1,4,6,0.50,143.6
G1,4,7,0.50,158.2
G1,4,8,0.50,172.8
G1,4,9,0.50,187.4
G1,4,10,0.50,202
G1,5,1,0.50,70.9
G1,5,2,0.50,85.5
G1,5,3,0.50,100.1
G1,5,4,0.50,114.8
G1,5,5,0.50,129.4
G1,5,6,0.50,144.0
G1,5,7,0.50,158.6
G1,5,8,0.50,173.3
G1,5,9,0.50,187.9
G1,5,10,0.50,202.5
G1,6,1,0.50,71.1
G1,6,2,0.50,85.7
G1,6,3,0.50,100.4
G1,6,4,0.50,115.0
G1,6,5,0.50,129.7
G1,6,6,0.50,144.4
G1,6,7,0.50,159.0
G1,6,8,0.50,173.7
G1,6,9,0.50,188.3
G1,6,10,0.50,203
G1,7,1,0.50,71.2
G1,7,2,0.50,85.9
G1,7,3,0.50,100.6
G1,7,4,0.50,115.3
G1,7,5,0.50,130.0
G1,7,6,0.50,144.7
G1,7,7,0.50,159.4
G1,7,8,0.50,174.1
G1,7,9,0.50,188.8
G1,7,10,0.50,203.5
G1,8,1,0.50,71.4
G1,8,2,0.50,86.1
G1,8,3,0.50,100.9
G1,8,4,0.50,115.6
