generator_id,time_slot,segment_no,quantity_mw,price_yuan_per_mwh
G1,1,1,2.88,388.7
G1,1,2,2.88,468.9
G1,1,3,2.88,549.1
G1,1,4,2.88,629.3
G1,1,5,2.88,709.5
G1,1,6,2.88,789.8
G1,1,7,2.88,870.0
G1,1,8,2.88,950.2
G1,1,9,2.88,1030.4
G1,1,10,5.58,1110.59
G1,2,1,2.78,376.5
G1,2,2,2.78,454.2
G1,2,3,2.78,531.9
G1,2,4,2.78,609.6
G1,2,5,2.78,687.3
G1,2,6,2.78,765.0
G1,2,7,2.78,842.7
G1,2,8,2.78,920.4
G1,2,9,2.78,998.1
G1,2,10,6.28,1075.81
G1,3,1,2.79,358.9
G1,3,2,2.79,433.0
G1,3,3,2.79,507.1
G1,3,4,2.79,581.1
G1,3,5,2.79,655.2
G1,3,6,2.79,729.3
G1,3,7,2.79,803.3
G1,3,8,2.79,877.4
G1,3,9,2.79,951.5
G1,3,10,5.79,1025.54
G1,4,1,2.75,335.8
G1,4,2,2.75,405.1
G1,4,3,2.75,474.3
G1,4,4,2.75,543.6
G1,4,5,2.75,612.9
G1,4,6,2.75,682.2
G1,4,7,2.75,751.5
G1,4,8,2.75,820.8
G1,4,9,2.75,890.1
G1,4,10,5.75,959.35
G1,5,1,2.73,353.7
G1,5,2,2.73,426.7
G1,5,3,2.73,499.7
G1,5,4,2.73,572.7
G1,5,5,2.73,645.7
G1,5,6,2.73,718.7
G1,5,7,2.73,791.7
G1,5,8,2.73,864.7
G1,5,9,2.73,937.7
G1,5,10,5.93,1010.66
G1,6,1,2.65,349.8
G1,6,2,2.65,422.0
G1,6,3,2.65,494.2
G1,6,4,2.65,566.4
G1,6,5,2.65,638.6
G1,6,6,2.65,710.8
G1,6,7,2.65,783.0
G1,6,8,2.65,855.1
G1,6,9,2.65,927.3
G1,6,10,6.35,999.52
G1,7,1,2.60,342.9
G1,7,2,2.60,413.6
G1,7,3,2.60,484.4
G1,7,4,2.60,555.1
G1,7,5,2.60,625.9
G1,7,6,2.60,696.6
G1,7,7,2.60,767.4
G1,7,8,2.60,838.1
G1,7,9,2.60,908.9
G1,7,10,6.50,979.62
G1,8,1,2.53,332.7
G1,8,2,2.53,401.3
G1,8,3,2.53,470.0
G1,8,4,2.53,538.6
G1,8,5,2.53,607.2
G1,8,6,2.53,675.9
