generator_id,time_slot,segment_no,quantity_mw,price_yuan_per_mwh
G2,1,1,1.22,328.9
G2,1,2,1.22,396.8
G2,1,3,1.22,464.7
G2,1,4,1.22,532.5
G2,1,5,1.22,600.4
G2,1,6,1.22,668.3
G2,1,7,1.22,736.1
G2,1,8,1.22,804.0
G2,1,9,1.22,871.9
G2,1,10,5.32,939.76
G2,2,1,1.22,322.2
G2,2,2,1.22,388.7
G2,2,3,1.22,455.2
G2,2,4,1.22,521.6
G2,2,5,1.22,588.1
G2,2,6,1.22,654.6
G2,2,7,1.22,721.1
G2,2,8,1.22,787.6
G2,2,9,1.22,854.0
G2,2,10,5.02,920.53
G2,3,1,1.11,320.1
G2,3,2,1.11,386.2
G2,3,3,1.11,452.3
G2,3,4,1.11,518.3
G2,3,5,1.11,584.4
G2,3,6,1.11,650.5
G2,3,7,1.11,716.5
G2,3,8,1.11,782.6
G2,3,9,1.11,848.6
G2,3,10,6.31,914.71
G2,4,1,1.00,313.6
G2,4,2,1.00,378.3
G2,4,3,1.00,443.0
G2,4,4,1.00,507.7
G2,4,5,1.00,572.4
G2,4,6,1.00,637.1
G2,4,7,1.00,701.8
G2,4,8,1.00,766.5
G2,4,9,1.00,831.2
G2,4,10,6.00,895.86
G2,5,1,0.93,319.6
G2,5,2,0.93,385.5
G2,5,3,0.93,451.5
G2,5,4,0.93,517.4
G2,5,5,0.93,583.4
G2,5,6,0.93,649.3
G2,5,7,0.93,715.3
G2,5,8,0.93,781.2
G2,5,9,0.93,847.2
G2,5,10,6.93,913.12
G2,6,1,0.95,304.0
G2,6,2,0.95,366.7
G2,6,3,0.95,429.5
G2,6,4,0.95,492.2
G2,6,5,0.95,554.9
G2,6,6,0.95,617.7
G2,6,7,0.95,680.4
G2,6,8,0.95,743.1
G2,6,9,0.95,805.9
G2,6,10,5.95,868.61
G2,7,1,0.96,304.1
G2,7,2,0.96,366.8
G2,7,3,0.96,429.5
G2,7,4,0.96,492.3
G2,7,5,0.96,555.0
G2,7,6,0.96,617.8
G2,7,7,0.96,680.5
G2,7,8,0.96,743.2
G2,7,9,0.96,806.0
G2,7,10,5.96,868.73
G2,8,1,0.99,297.4
G2,8,2,0.99,358.8
G2,8,3,0.99,420.1
G2,8,4,0.99,481.5
G2,8,5,0.99,542.9
G2,8,6,0.99,604.2
G2,8,7,0.99,665.6
G2,8,8,0.99,727.0
G2,8,9,0.99,788.3
G2,8,10,4.99,849.69
G2,9,1,0.94,300.2
G2,9,2,0.94,362.1
G2,9,3,0.94,424.0
G2,9,4,0.94,486.0
G2,9,5,0.94,547.9
G2,9,6,0.94,609.8
G2,9,7,0.94,671.8
G2,9,8,0.94,733.7
G2,9,9,0.94,795.7
G2,9,10,4.34,857.59
G2,10,1,0.89,298.3
G2,10,2,0.89,359.9
G2,10,3,0.89,421.4
G2,10,4,0.89,483.0
G2,10,5,0.89,544.5
G2,10,6,0.89,606.1
G2,10,7,0.89,667.7
G2,10,8,0.89,729.2
G2,10,9,0.89,790.8
G2,10,10,4.89,852.32
G2,11,1,0.92,296.5
G2,11,2,0.92,357.6
G2,11,3,0.92,418.8
G2,11,4,0.92,480.0
G2,11,5,0.92,541.2
G2,11,6,0.92,602.4
G2,11,7,0.92,663.5
G2,11,8,0.92,724.7
G2,11,9,0.92,785.9
G2,11,10,4.22,847.06
G2,12,1,0.95,299.3
G2,12,2,0.95,361.1
G2,12,3,0.95,422.8
G2,12,4,0.95,484.6
G2,12,5,0.95,546.4
G2,12,6,0.95,608.1
G2,12,7,0.95,669.9
G2,12,8,0.95,731.7
G2,12,9,0.95,793.4
G2,12,10,2.85,855.2
G2,13,1,0.92,286.0
G2,13,2,0.92,345.0
G2,13,3,0.92,404.1
G2,13,4,0.92,463.1
G2,13,5,0.92,522.1
G2,13,6,0.92,581.1
G2,13,7,0.92,640.1
G2,13,8,0.92,699.1
G2,13,9,0.92,758.2
G2,13,10,2.82,817.18
G2,14,1,0.95,292.6
G2,14,2,0.95,353.0
G2,14,3,0.95,413.4
G2,14,4,0.95,473.8
G2,14,5,0.95,534.1
G2,14,6,0.95,594.5
G2,14,7,0.95,654.9
G2,14,8,0.95,715.3
G2,14,9,0.95,775.7
G2,14,10,2.65,836.03
G2,15,1,0.86,296.6
G2,15,2,0.86,357.9
G2,15,3,0.86,419.1
G2,15,4,0.86,480.3
G2,15,5,0.86,541.5
G2,15,6,0.86,602.7
G2,15,7,0.86,663.9
G2,15,8,0.86,725.1
G2,15,9,0.86,786.3
G2,15,10,3.46,847.55
G2,16,1,0.84,299.0
G2,16,2,0.84,360.6
G2,16,3,0.84,422.3
G2,16,4,0.84,484.0
G2,16,5,0.84,545.7
G2,16,6,0.84,607.4
G2,16,7,0.84,669.1
G2,16,8,0.84,730.8
G2,16,9,0.84,792.5
G2,16,10,3.34,854.16
G2,17,1,0.79,285.1
G2,17,2,0.79,344.0
G2,17,3,0.79,402.8
G2,17,4,0.79,461.6
G2,17,5,0.79,520.5
G2,17,6,0.79,579.3
G2,17,7,0.79,638.2
G2,17,8,0.79,697.0
G2,17,9,0.79,755.8
G2,17,10,3.89,814.67
G2,18,1,0.86,292.5
G2,18,2,0.86,352.8
G2,18,3,0.86,413.2
G2,18,4,0.86,473.5
G2,18,5,0.86,533.9
G2,18,6,0.86,594.2
G2,18,7,0.86,654.6
G2,18,8,0.86,714.9
G2,18,9,0.86,775.3
G2,18,10,3.46,835.61
G2,19,1,0.88,296.4
G2,19,2,0.88,357.5
G2,19,3,0.88,418.7
G2,19,4,0.88,479.9
G2,19,5,0.88,541.0
G2,19,6,0.88,602.2
G2,19,7,0.88,663.3
G2,19,8,0.88,724.5
G2,19,9,0.88,785.7
G2,19,10,4.48,846.81
G2,20,1,0.90,298.5
G2,20,2,0.90,360.1
G2,20,3,0.90,421.7
G2,20,4,0.90,483.3
G2,20,5,0.90,544.9
G2,20,6,0.90,606.5
G2,20,7,0.90,668.1
G2,20,8,0.90,729.7
G2,20,9,0.90,791.3
G2,20,10,4.40,852.93
G2,21,1,1.00,299.8
G2,21,2,1.00,361.7
G2,21,3,1.00,423.5
G2,21,4,1.00,485.4
G2,21,5,1.00,547.3
G2,21,6,1.00,609.1
G2,21,7,1.00,671.0
G2,21,8,1.00,732.9
G2,21,9,1.00,794.7
G2,21,10,4.20,856.61
G2,22,1,1.12,303.8
G2,22,2,1.12,366.5
G2,22,3,1.12,429.1
G2,22,4,1.12,491.8
G2,22,5,1.12,554.5
G2,22,6,1.12,617.2
G2,22,7,1.12,679.9
G2,22,8,1.12,742.6
G2,22,9,1.12,805.3
G2,22,10,4.42,867.94
G2,23,1,1.22,306.3
G2,23,2,1.22,369.5
G2,23,3,1.22,432.7
G2,23,4,1.22,495.9
G2,23,5,1.22,559.1
G2,23,6,1.22,622.3
G2,23,7,1.22,685.4
G2,23,8,1.22,748.6
G2,23,9,1.22,811.8
G2,23,10,5.12,875.04
G2,24,1,1.40,310.8
G2,24,2,1.40,374.9
G2,24,3,1.40,439.0
G2,24,4,1.40,503.1
G2,24,5,1.40,567.3
G2,24,6,1.40,631.4
G2,24,7,1.40,695.5
G2,24,8,1.40,759.6
G2,24,9,1.40,823.8
G2,24,10,4.90,887.9
G2,25,1,1.46,343.0
G2,25,2,1.46,413.8
G2,25,3,1.46,484.6
G2,25,4,1.46,555.3
G2,25,5,1.46,626.1
G2,25,6,1.46,696.9
G2,25,7,1.46,767.7
G2,25,8,1.46,838.4
G2,25,9,1.46,909.2
G2,25,10,5.66,979.99
G2,26,1,1.58,332.4
G2,26,2,1.58,401.0
G2,26,3,1.58,469.6
G2,26,4,1.58,538.2
G2,26,5,1.58,606.7
G2,26,6,1.58,675.3
G2,26,7,1.58,743.9
G2,26,8,1.58,812.5
G2,26,9,1.58,881.1
G2,26,10,7.98,949.68
G2,27,1,1.76,320.1
G2,27,2,1.76,386.2
G2,27,3,1.76,452.3
G2,27,4,1.76,518.3
G2,27,5,1.76,584.4
G2,27,6,1.76,650.5
G2,27,7,1.76,716.5
G2,27,8,1.76,782.6
G2,27,9,1.76,848.6
G2,27,10,9.36,914.71
G2,28,1,2.06,321.6
G2,28,2,2.06,388.0
G2,28,3,2.06,454.4
G2,28,4,2.06,520.7
G2,28,5,2.06,587.1
G2,28,6,2.06,653.5
G2,28,7,2.06,719.8
G2,28,8,2.06,786.2
G2,28,9,2.06,852.6
G2,28,10,8.56,918.94
G2,29,1,2.17,325.4
G2,29,2,2.17,392.5
G2,29,3,2.17,459.7
G2,29,4,2.17,526.8
G2,29,5,2.17,593.9
G2,29,6,2.17,661.1
G2,29,7,2.17,728.2
G2,29,8,2.17,795.4
G2,29,9,2.17,862.5
G2,29,10,8.07,929.66
G2,30,1,2.29,320.1
G2,30,2,2.29,386.2
G2,30,3,2.29,452.3
G2,30,4,2.29,518.3
G2,30,5,2.29,584.4
G2,30,6,2.29,650.5
G2,30,7,2.29,716.5
G2,30,8,2.29,782.6
G2,30,9,2.29,848.6
G2,30,10,10.49,914.71
G2,31,1,2.52,318.0
G2,31,2,2.52,383.6
G2,31,3,2.52,449.2
G2,31,4,2.52,514.8
G2,31,5,2.52,580.4
G2,31,6,2.52,646.1
G2,31,7,2.52,711.7
G2,31,8,2.52,777.3
G2,31,9,2.52,842.9
G2,31,10,10.62,908.53
G2,32,1,2.56,320.1
G2,32,2,2.56,386.2
G2,32,3,2.56,452.3
G2,32,4,2.56,518.3
G2,32,5,2.56,584.4
G2,32,6,2.56,650.5
G2,32,7,2.56,716.5
G2,32,8,2.56,782.6
G2,32,9,2.56,848.6
G2,32,10,11.06,914.71
G2,33,1,2.91,320.3
G2,33,2,2.91,386.4
G2,33,3,2.91,452.5
G2,33,4,2.91,518.5
G2,33,5,2.91,584.6
G2,33,6,2.91,650.7
G2,33,7,2.91,716.8
G2,33,8,2.91,782.9
G2,33,9,2.91,849.0
G2,33,10,8.71,915.08
G2,34,1,2.96,302.6
G2,34,2,2.96,365.1
G2,34,3,2.96,427.5
G2,34,4,2.96,490.0
G2,34,5,2.96,552.4
G2,34,6,2.96,614.9
G2,34,7,2.96,677.3
G2,34,8,2.96,739.8
G2,34,9,2.96,802.2
G2,34,10,9.66,864.69
G2,35,1,2.91,283.4
G2,35,2,2.91,341.8
G2,35,3,2.91,400.3
G2,35,4,2.91,458.8
G2,35,5,2.91,517.3
G2,35,6,2.91,575.7
G2,35,7,2.91,634.2
G2,35,8,2.91,692.7
G2,35,9,2.91,751.2
G2,35,10,11.51,809.64
G2,36,1,3.08,259.2
G2,36,2,3.08,312.7
G2,36,3,3.08,366.2
G2,36,4,3.08,419.7
G2,36,5,3.08,473.1
G2,36,6,3.08,526.6
G2,36,7,3.08,580.1
G2,36,8,3.08,633.6
G2,36,9,3.08,687.1
G2,36,10,10.98,740.58
G2,37,1,3.21,285.6
G2,37,2,3.21,344.6
G2,37,3,3.21,403.5
G2,37,4,3.21,462.5
G2,37,5,3.21,521.4
G2,37,6,3.21,580.4
G2,37,7,3.21,639.3
G2,37,8,3.21,698.2
G2,37,9,3.21,757.2
G2,37,10,11.21,816.13
G2,38,1,3.26,262.9
G2,38,2,3.26,317.1
G2,38,3,3.26,371.4
G2,38,4,3.26,425.6
G2,38,5,3.26,479.8
G2,38,6,3.26,534.1
G2,38,7,3.26,588.3
G2,38,8,3.26,642.6
G2,38,9,3.26,696.8
G2,38,10,11.66,751.05
G2,39,1,3.19,226.0
G2,39,2,3.19,272.7
G2,39,3,3.19,319.3
G2,39,4,3.19,365.9
G2,39,5,3.19,412.6
G2,39,6,3.19,459.2
G2,39,7,3.19,505.9
G2,39,8,3.19,552.5
G2,39,9,3.19,599.1
G2,39,10,11.09,645.79
G2,40,1,3.23,190.0
G2,40,2,3.23,229.2
G2,40,3,3.23,268.4
G2,40,4,3.23,307.6
G2,40,5,3.23,346.8
G2,40,6,3.23,386.0
G2,40,7,3.23,425.2
G2,40,8,3.23,464.4
