consumer_id,time_slot,segment_no,quantity_mw,price_yuan_per_mwh
C1_STEEL,1,1,71.05,354.30
C1_STEEL,1,2,59.51,323.44
C1_STEEL,1,3,53.42,297.89
C1_STEEL,1,4,50.95,259.74
C1_STEEL,1,5,38.60,232.18
C2_DATACENTER,1,1,57.59,676.23
C2_DATACENTER,1,2,49.16,653.40
C2_DATACENTER,1,3,45.66,630.82
C2_DATACENTER,1,4,42.81,607.87
C2_DATACENTER,1,5,35.80,579.20
C2_DATACENTER,1,6,27.41,570.87
C3_COMMERCIAL,1,1,41.36,523.50
C3_COMMERCIAL,1,2,40.73,491.83
C3_COMMERCIAL,1,3,36.04,455.87
C3_COMMERCIAL,1,4,26.72,435.50
C4_RESIDENTIAL,1,1,35.86,582.18
C4_RESIDENTIAL,1,2,26.49,557.55
C4_RESIDENTIAL,1,3,29.08,528.86
C4_RESIDENTIAL,1,4,24.37,497.37
C5_EV,1,1,88.16,449.51
C5_EV,1,2,76.43,419.56
C5_EV,1,3,84.69,380.78
C5_EV,1,4,61.36,354.54
C1_STEEL,2,1,77.81,378.06
C1_STEEL,2,2,74.77,352.40
C1_STEEL,2,3,64.37,328.73
C1_STEEL,2,4,55.81,307.16
C2_DATACENTER,2,1,54.46,701.95
C2_DATACENTER,2,2,60.16,677.73
C2_DATACENTER,2,3,52.51,646.16
C2_DATACENTER,2,4,42.39,618.89
C2_DATACENTER,2,5,35.19,589.16
C2_DATACENTER,2,6,29.14,582.45
C3_COMMERCIAL,2,1,42.10,509.22
C3_COMMERCIAL,2,2,38.09,479.18
C3_COMMERCIAL,2,3,34.31,459.10
C3_COMMERCIAL,2,4,32.08,428.63
C4_RESIDENTIAL,2,1,37.15,594.69
C4_RESIDENTIAL,2,2,34.65,570.02
C4_RESIDENTIAL,2,3,25.67,541.85
C4_RESIDENTIAL,2,4,23.08,521.80
C5_EV,2,1,92.44,457.64
C5_EV,2,2,93.36,431.01
C5_EV,2,3,76.26,402.31
C5_EV,2,4,70.41,381.27
C1_STEEL,3,1,66.88,363.31
C1_STEEL,3,2,59.61,332.97
C1_STEEL,3,3,45.78,304.14
C1_STEEL,3,4,45.84,261.56
C1_STEEL,3,5,34.07,244.79
C2_DATACENTER,3,1,73.60,695.29
C2_DATACENTER,3,2,54.84,663.92
C2_DATACENTER,3,3,46.52,632.89
C2_DATACENTER,3,4,44.18,597.38
C2_DATACENTER,3,5,33.26,556.47
C3_COMMERCIAL,3,1,42.30,512.65
C3_COMMERCIAL,3,2,30.30,490.14
C3_COMMERCIAL,3,3,27.46,460.31
C3_COMMERCIAL,3,4,23.28,441.17
C3_COMMERCIAL,3,5,19.67,421.24
C4_RESIDENTIAL,3,1,30.85,576.97
C4_RESIDENTIAL,3,2,26.14,550.57
C4_RESIDENTIAL,3,3,22.69,528.96
C4_RESIDENTIAL,3,4,20.74,506.54
C4_RESIDENTIAL,3,5,17.08,481.15
C5_EV,3,1,174.00,440.50
C5_EV,3,2,158.00,406.85
C1_STEEL,4,1,132.78,379.01
C1_STEEL,4,2,116.56,352.21
C2_DATACENTER,4,1,79.98,668.58
C2_DATACENTER,4,2,75.95,640.81
C2_DATACENTER,4,3,56.87,605.77
C2_DATACENTER,4,4,52.99,585.86
C3_COMMERCIAL,4,1,42.87,503.26
C3_COMMERCIAL,4,2,41.57,476.42
C3_COMMERCIAL,4,3,31.79,441.22
C3_COMMERCIAL,4,4,30.38,410.10
C4_RESIDENTIAL,4,1,44.92,576.53
C4_RESIDENTIAL,4,2,40.81,555.32
C4_RESIDENTIAL,4,3,31.56,526.89
C5_EV,4,1,78.51,437.05
C5_EV,4,2,71.38,414.13
C5_EV,4,3,66.57,381.89
C5_EV,4,4,51.56,362.80
C5_EV,4,5,52.09,331.19
C1_STEEL,5,1,93.94,351.71
C1_STEEL,5,2,84.13,328.24
C1_STEEL,5,3,75.56,301.45
C2_DATACENTER,5,1,60.04,668.57
C2_DATACENTER,5,2,50.18,647.04
C2_DATACENTER,5,3,45.16,625.93
C2_DATACENTER,5,4,33.31,599.86
C2_DATACENTER,5,5,29.93,574.24
C2_DATACENTER,5,6,23.95,547.04
C3_COMMERCIAL,5,1,27.68,505.07
C3_COMMERCIAL,5,2,29.26,475.56
C3_COMMERCIAL,5,3,24.82,449.56
C3_COMMERCIAL,5,4,17.83,415.15
C3_COMMERCIAL,5,5,18.71,397.21
C3_COMMERCIAL,5,6,12.65,354.01
C4_RESIDENTIAL,5,1,27.43,617.78
C4_RESIDENTIAL,5,2,27.50,593.28
C4_RESIDENTIAL,5,3,20.96,569.08
