generator_id,time_slot,segment_no,quantity_mw,price_yuan_per_mwh
G1_COAL1,1,1,85.71,153.69
G1_COAL1,1,2,71.62,174.46
G1_COAL1,1,3,68.53,195.12
G1_COAL1,1,4,60.49,210.61
G1_COAL1,1,5,48.29,228.68
G1_COAL1,1,6,41.27,245.44
G2_COAL2,1,1,94.50,178.80
G2_COAL2,1,2,85.82,201.39
G2_COAL2,1,3,67.13,222.19
G2_COAL2,1,4,68.92,240.53
G3_GAS1,1,1,43.83,237.91
G3_GAS1,1,2,34.61,257.51
G3_GAS1,1,3,36.51,278.01
G3_GAS1,1,4,27.20,306.95
G3_GAS1,1,5,24.97,326.63
G4_GAS2,1,1,11.25,313.29
G4_GAS2,1,2,9.00,343.58
G4_GAS2,1,3,7.17,371.58
G4_GAS2,1,4,6.62,402.51
G4_GAS2,1,5,5.63,439.06
G5_HYDRO,1,1,30.12,120.96
G5_HYDRO,1,2,27.85,130.34
G5_HYDRO,1,3,26.35,141.63
G5_HYDRO,1,4,18.78,150.84
G6_RENEW,1,1,41.49,15.71
G1_COAL1,2,1,91.77,154.10
G1_COAL1,2,2,81.62,169.72
G1_COAL1,2,3,66.20,188.12
G1_COAL1,2,4,53.28,208.74
G1_COAL1,2,5,47.01,228.01
G1_COAL1,2,6,41.25,242.59
G2_COAL2,2,1,78.66,171.96
G2_COAL2,2,2,75.48,195.23
G2_COAL2,2,3,60.69,218.71
G2_COAL2,2,4,48.54,234.85
G2_COAL2,2,5,39.41,254.97
G3_GAS1,2,1,54.52,243.11
G3_GAS1,2,2,39.10,264.94
G3_GAS1,2,3,39.79,283.80
G3_GAS1,2,4,34.45,305.09
G4_GAS2,2,1,15.35,298.72
G4_GAS2,2,2,14.05,334.41
G4_GAS2,2,3,11.94,367.45
G5_HYDRO,2,1,30.95,120.23
G5_HYDRO,2,2,27.61,130.09
G5_HYDRO,2,3,21.66,141.11
G5_HYDRO,2,4,22.03,154.49
G6_RENEW,2,1,45.39,16.25
G1_COAL1,3,1,108.85,143.27
G1_COAL1,3,2,95.38,156.26
G1_COAL1,3,3,91.95,177.00
G1_COAL1,3,4,74.53,195.13
G2_COAL2,3,1,77.30,171.90
G2_COAL2,3,2,67.63,188.48
G2_COAL2,3,3,67.10,207.27
G2_COAL2,3,4,57.86,221.84
G2_COAL2,3,5,53.40,237.29
G3_GAS1,3,1,52.49,231.62
G3_GAS1,3,2,43.24,254.41
G3_GAS1,3,3,36.74,281.73
G3_GAS1,3,4,35.66,309.02
G4_GAS2,3,1,10.32,290.15
G4_GAS2,3,2,8.65,323.60
G4_GAS2,3,3,8.78,354.17
G4_GAS2,3,4,7.04,385.23
G5_HYDRO,3,1,32.18,113.47
G5_HYDRO,3,2,27.80,127.01
G5_HYDRO,3,3,24.36,135.55
G5_HYDRO,3,4,22.06,143.89
G6_RENEW,3,1,50.22,14.94
G1_COAL1,4,1,93.67,157.31
G1_COAL1,4,2,94.43,173.20
G1_COAL1,4,3,74.39,190.27
G1_COAL1,4,4,66.10,210.78
G1_COAL1,4,5,59.85,226.41
G2_COAL2,4,1,78.17,174.27
G2_COAL2,4,2,79.81,195.77
G2_COAL2,4,3,68.77,212.57
G2_COAL2,4,4,52.37,227.97
G2_COAL2,4,5,44.39,244.01
G3_GAS1,4,1,51.78,232.78
