time_slot,power_mw,price_yuan_per_mwh
1,27.4,1778.96
2,27.1,1684.29
3,26.2,1647.33
4,25.5,1576.19
5,25.5,1594.07
6,24.9,1566.84
7,24.6,1536.08
8,24.1,1520.89
9,24.2,1533.67
10,23.6,1528.39
11,23.6,1489.49
12,23.1,1484.4
13,23.1,1517.93
14,23.5,1528.86
15,22.9,1524.69
16,22.6,1514.59
17,22.8,1462.44
18,23.0,1481.99
19,23.2,1482.08
20,23.9,1535.71
21,24.9,1564.24
22,25.8,1621.95
23,26.6,1679.57
24,28.9,1772.66
25,30.5,1817.12
26,32.3,1898.45
27,33.7,1917.63
28,36.0,1899.01
29,38.1,1926.06
30,39.0,1873.81
31,41.1,1864.83
32,41.8,1749.5
33,43.3,1940.51
34,44.9,1874.09
35,45.7,1732.09
36,45.9,1631.03
37,46.6,1753.12
38,46.9,1605.56
39,47.7,1445.49
40,47.6,1474.48
41,49.4,1569.24
42,49.2,1338.78
43,49.4,1353.88
44,48.7,1237.44
45,49.0,1435.76
46,49.8,1182.14
47,47.7,1204.19
48,47.5,1253.93
49,48.3,1317.57
50,47.6,1111.56
51,47.9,1122.95
52,48.6,1053.57
53,46.5,1189.83
54,46.3,1130.09
55,46.2,1052.46
56,46.3,1194.0
57,46.6,955.29
58,46.8,1050.52
59,46.2,1283.57
60,47.2,1456.05
61,48.5,1254.86
62,47.4,1337.86
63,48.2,1381.3
64,48.7,1567.76
65,51.2,1324.33
66,50.2,1425.48
67,51.8,1599.07
68,54.3,1807.77
69,55.7,1537.75
70,55.4,1806.28
71,56.9,1902.81
72,59.2,2086.21
73,58.8,1817.12
74,59.0,1908.09
75,59.9,1986.54
76,59.9,2162.17
77,63.2,2122.8
78,62.1,2217.84
79,60.7,2262.49
80,59.5,2297.59
81,58.7,2125.86
82,57.4,2088.71
83,55.8,1996.92
84,55.4,1881.32
85,53.7,2095.11
86,52.2,1989.32
87,51.1,1904.29
88,49.0,1817.12
89,48.9,1945.32
90,47.8,1899.01
91,45.3,1844.54
92,44.0,1810.64
93,41.9,1847.69
94,39.4,1813.88
95,34.7,1748.39
96,31.6,1693.09
