time_slot,power_mw,price_yuan_per_mwh
1,29.2,1013.05
2,29.8,979.68
3,29.8,973.19
4,28.5,941.78
5,28.2,918.45
6,28.3,919.37
7,27.4,917.41
8,26.9,893.96
9,27.0,890.22
10,26.9,889.92
11,26.6,915.27
12,27.0,895.0
13,27.2,866.34
14,27.9,914.47
15,28.0,894.2
16,27.7,874.67
17,28.5,872.04
18,28.5,895.55
19,29.4,914.16
20,29.7,930.08
21,29.6,922.55
22,32.0,966.7
23,33.0,994.56
24,33.5,1047.95
25,34.7,1085.49
26,36.7,1130.0
27,38.3,1161.59
28,41.2,1165.94
29,44.3,1193.99
30,46.3,1175.68
31,48.4,1172.13
32,50.5,1136.67
33,51.4,1201.88
34,52.7,1165.94
35,54.2,1076.42
36,55.0,954.58
37,55.4,1080.22
38,55.9,1005.58
39,56.1,837.87
40,56.1,682.84
41,56.3,1010.3
42,55.2,912.82
43,54.9,704.14
44,55.5,599.07
45,56.4,789.81
46,54.6,794.64
47,54.5,602.63
48,53.1,541.7
49,52.3,862.06
50,53.8,584.5
51,52.9,519.72
52,51.8,517.7
53,50.5,554.81
54,50.3,590.07
55,50.9,686.45
56,51.8,542.25
57,51.7,584.56
58,49.6,675.0
59,49.5,612.3
60,49.0,681.49
61,50.2,570.79
62,49.8,674.33
63,50.2,777.93
64,51.6,904.86
65,52.7,712.78
66,53.7,833.46
67,55.3,945.82
68,56.4,1091.98
69,56.5,940.25
70,58.3,1071.46
71,58.5,1172.13
72,59.7,1285.83
73,59.5,1115.79
74,60.1,1209.97
75,60.8,1317.0
76,60.2,1351.1
77,59.2,1291.4
78,60.8,1339.22
79,60.1,1389.68
80,59.7,1469.52
81,62.3,1356.55
82,60.2,1347.73
83,60.2,1295.57
84,60.5,1261.4
85,58.4,1280.81
86,59.4,1266.11
87,56.9,1234.83
88,54.3,1177.15
89,51.2,1203.6
90,49.2,1172.13
91,47.7,1139.61
92,47.4,1107.34
93,45.0,1131.22
94,42.0,1071.53
95,38.5,1053.95
96,34.2,963.03
